_ID,TimeSt,Country,Province,City,Latitude,Longitude,POIID,Latitude2,Longitude2,distance,min(distance)
4516516,00:00.1,CA,ON,Waterloo,43.49347,-80.49123,POI3,45.521629,-73.566024,594.76447,594.76447
4516547,00:00.2,CA,ON,London,42.9399,-81.2709,POI3,45.521629,-73.566024,678.755,678.755
4516550,00:00.3,CA,ON,Guelph,43.5776,-80.2201,POI3,45.521629,-73.566024,570.9473,570.9473
4516600,00:00.3,CA,ON,Stratford,43.3716,-80.9773,POI3,45.521629,-73.566024,636.1817,636.1817
4516613,00:00.5,CA,ON,Stratford,43.3716,-80.9773,POI3,45.521629,-73.566024,636.1817,636.1817
4516693,00:00.6,CA,ON,Kitchener,43.4381,-80.5099,POI3,45.521629,-73.566024,598.7253,598.7253
4516771,00:00.9,CA,ON,Sarnia,42.961,-82.373,POI3,45.521629,-73.566024,758.34283,758.34283
4516831,00:00.9,CA,ON,London,43.0091,-81.1765,POI3,45.521629,-73.566024,668.37634,668.37634
4516915,00:01.3,CA,ON,London,43.0091,-81.1765,POI3,45.521629,-73.566024,668.37634,668.37634
4516953,00:01.7,CA,ON,Kitchener,43.4278,-80.5135,POI3,45.521629,-73.566024,599.47614,599.47614
4516966,00:01.8,CA,ON,Kitchener,43.4381,-80.5099,POI3,45.521629,-73.566024,598.7253,598.7253
4517044,00:00.3,CA,ON,Windsor,42.2825,-83.0372,POI3,45.521629,-73.566024,840.99475,840.99475
4517081,00:00.8,CA,ON,Windsor,42.24397,-82.98058,POI3,45.521629,-73.566024,838.9559,838.9559
4517175,00:01.1,CA,ON,Saint Thomas,42.7792,-81.1927,POI3,45.521629,-73.566024,681.6249,681.6249
4517220,00:01.2,CA,ON,Waterloo,43.4634,-80.5201,POI3,45.521629,-73.566024,598.28503,598.28503
4517250,00:01.4,CA,ON,Chatham,42.4247,-82.1755,POI3,45.521629,-73.566024,771.2326,771.2326
4517303,00:00.3,CA,ON,Windsor,42.2957,-82.9599,POI3,45.521629,-73.566024,834.69495,834.69495
4517326,00:00.4,CA,ON,Guelph,43.5425,-80.2676,POI3,45.521629,-73.566024,576.0618,576.0618
4517349,00:00.4,CA,ON,Chatham,42.4247,-82.1755,POI3,45.521629,-73.566024,771.2326,771.2326
4517420,00:00.4,CA,ON,Guelph,43.5215,-80.2338,POI3,45.521629,-73.566024,574.56665,574.56665
4517466,00:01.2,CA,ON,Waterloo,43.4678,-80.584,POI3,45.521629,-73.566024,602.77515,602.77515
4517518,00:01.3,CA,ON,Waterloo,43.4634,-80.5201,POI3,45.521629,-73.566024,598.28503,598.28503
4517538,00:01.4,CA,ON,Kitchener,43.4453,-80.4905,POI3,45.521629,-73.566024,596.96375,596.96375
4517607,00:01.6,CA,ON,Chatham,42.4247,-82.1755,POI3,45.521629,-73.566024,771.2326,771.2326
4517697,00:01.8,CA,ON,Windsor,42.3262,-82.9084,POI3,45.521629,-73.566024,829.3458,829.3458
4517720,00:01.8,CA,ON,Kitchener,43.4397,-80.434,POI3,45.521629,-73.566024,593.0914,593.0914
4517809,00:00.0,CA,ON,London,43.0346,-81.2554,POI3,45.521629,-73.566024,672.8116,672.8116
4517811,00:00.1,CA,ON,Cambridge,43.4194,-80.3255,POI3,45.521629,-73.566024,586.1404,586.1404
4517905,00:00.2,CA,ON,Windsor,42.2957,-82.9599,POI3,45.521629,-73.566024,834.69495,834.69495
4517999,00:00.6,CA,ON,Kitchener,43.4553,-80.4845,POI3,45.521629,-73.566024,596.0528,596.0528
4518000,00:00.7,CA,ON,Kitchener,43.4676,-80.4847,POI3,45.521629,-73.566024,595.49023,595.49023
4518002,00:00.9,CA,ON,Kitchener,43.4397,-80.434,POI3,45.521629,-73.566024,593.0914,593.0914
4518061,00:01.1,CA,ON,Waterloo,43.4678,-80.584,POI3,45.521629,-73.566024,602.77515,602.77515
4518130,00:01.3,CA,ON,London,43.0004,-81.2343,POI3,45.521629,-73.566024,673.00824,673.00824
4518153,00:01.4,CA,ON,Guelph,43.5425,-80.2676,POI3,45.521629,-73.566024,576.0618,576.0618
4518212,00:01.4,CA,ON,Kitchener,43.4278,-80.5135,POI3,45.521629,-73.566024,599.47614,599.47614
4518264,00:01.5,CA,ON,Cambridge,43.3842,-80.2968,POI3,45.521629,-73.566024,585.76764,585.76764
4518329,00:01.8,CA,ON,London,42.9399,-81.2709,POI3,45.521629,-73.566024,678.755,678.755
4518395,00:02.1,CA,ON,Windsor,42.2908,-82.987,POI3,45.521629,-73.566024,836.91766,836.91766
4518430,00:02.5,CA,ON,Brantford,43.1772,-80.248,POI3,45.521629,-73.566024,592.7987,592.7987
4518434,00:02.6,CA,ON,Guelph,43.5776,-80.2201,POI3,45.521629,-73.566024,570.9473,570.9473
4518512,00:02.8,CA,ON,London,42.9611,-81.2431,POI3,45.521629,-73.566024,675.6536,675.6536
4518585,00:02.8,CA,ON,Guelph,43.5776,-80.2201,POI3,45.521629,-73.566024,570.9473,570.9473
4518676,00:02.9,CA,ON,Kitchener,43.4397,-80.434,POI3,45.521629,-73.566024,593.0914,593.0914
4518814,00:03.8,CA,ON,Cambridge,43.3842,-80.2968,POI3,45.521629,-73.566024,585.76764,585.76764
4518832,00:03.9,CA,ON,Kitchener,43.4397,-80.434,POI3,45.521629,-73.566024,593.0914,593.0914
4518887,00:04.0,CA,ON,Waterloo,43.4634,-80.5201,POI3,45.521629,-73.566024,598.28503,598.28503
4518918,00:04.2,CA,ON,London,42.9399,-81.2709,POI3,45.521629,-73.566024,678.755,678.755
4518952,00:00.2,CA,ON,Kitchener,43.4193,-80.3826,POI3,45.521629,-73.566024,590.3105,590.3105
4518992,00:00.4,CA,ON,Waterloo,43.4678,-80.584,POI3,45.521629,-73.566024,602.77515,602.77515
4519004,00:00.7,CA,ON,Tillsonburg,42.86185,-80.72991,POI3,45.521629,-73.566024,644.1559,644.1559
4519038,00:00.8,CA,ON,Windsor,42.2287,-83.0182,POI3,45.521629,-73.566024,842.49414,842.49414
4519097,00:00.8,CA,ON,London,42.9399,-81.2709,POI3,45.521629,-73.566024,678.755,678.755
4519118,00:00.9,CA,ON,Windsor,42.2287,-83.0182,POI3,45.521629,-73.566024,842.49414,842.49414
4519156,00:01.0,CA,ON,Windsor,42.2287,-83.0182,POI3,45.521629,-73.566024,842.49414,842.49414
4519209,00:01.3,CA,ON,Hanover,44.1517,-81.0266,POI3,45.521629,-73.566024,608.9843,608.9843
4519287,00:01.4,CA,ON,Kitchener,43.3904,-80.4317,POI3,45.521629,-73.566024,595.2875,595.2875
4519378,00:02.3,CA,ON,Kitchener,43.4397,-80.434,POI3,45.521629,-73.566024,593.0914,593.0914
4519477,00:02.7,CA,ON,Windsor,42.2957,-82.9599,POI3,45.521629,-73.566024,834.69495,834.69495
4519555,00:03.9,CA,ON,Waterloo,43.4663,-80.5402,POI3,45.521629,-73.566024,599.6258,599.6258
4519604,00:04.2,CA,ON,Kitchener,43.4193,-80.3826,POI3,45.521629,-73.566024,590.3105,590.3105
4519633,00:04.3,CA,ON,London,42.9699,-81.2081,POI3,45.521629,-73.566024,672.6697,672.6697
4519710,00:04.4,CA,ON,Kitchener,43.2994,-80.4496,POI3,45.521629,-73.566024,601.0566,601.0566
4519736,00:01.9,CA,ON,Kitchener,43.4381,-80.5099,POI3,45.521629,-73.566024,598.7253,598.7253
4519766,00:02.1,CA,ON,Windsor,42.2545,-82.9809,POI3,45.521629,-73.566024,838.41406,838.41406
4519856,00:02.1,CA,ON,Kitchener,43.4453,-80.4905,POI3,45.521629,-73.566024,596.96375,596.96375
4519930,00:02.3,CA,ON,London,43.0004,-81.2343,POI3,45.521629,-73.566024,673.00824,673.00824
4520019,00:02.4,CA,ON,Guelph,43.5776,-80.2201,POI3,45.521629,-73.566024,570.9473,570.9473
4520085,00:02.4,CA,ON,Windsor,42.2654,-83.0261,POI3,45.521629,-73.566024,841.1007,841.1007
4520130,00:02.5,CA,ON,London,43.0091,-81.1765,POI3,45.521629,-73.566024,668.37634,668.37634
4520149,00:02.5,CA,ON,Guelph,43.5776,-80.2201,POI3,45.521629,-73.566024,570.9473,570.9473
4520192,00:02.7,CA,ON,Guelph,43.5776,-80.2201,POI3,45.521629,-73.566024,570.9473,570.9473
4520296,00:03.4,CA,ON,London,43.0091,-81.1765,POI3,45.521629,-73.566024,668.37634,668.37634
4520345,00:03.6,CA,ON,Windsor,42.2654,-83.0261,POI3,45.521629,-73.566024,841.1007,841.1007
4520349,00:03.8,CA,ON,Kitchener,43.4553,-80.4845,POI3,45.521629,-73.566024,596.0528,596.0528
4520395,00:04.0,CA,ON,Kitchener,43.4397,-80.434,POI3,45.521629,-73.566024,593.0914,593.0914
4520446,00:04.4,CA,ON,London,43.0061,-81.2962,POI3,45.521629,-73.566024,677.21136,677.21136
4520587,00:04.8,CA,ON,Chatham,42.3778,-82.1897,POI3,45.521629,-73.566024,774.8207,774.8207
4520685,00:04.9,CA,ON,Kitchener,43.4193,-80.3826,POI3,45.521629,-73.566024,590.3105,590.3105
4520751,00:05.0,CA,ON,London,42.993,-81.169,POI3,45.521629,-73.566024,668.6558,668.6558
4520821,00:05.1,CA,ON,Sarnia,42.96866,-82.40455,POI3,45.521629,-73.566024,760.3162,760.3162
4520907,00:05.7,CA,ON,London,43.0091,-81.1765,POI3,45.521629,-73.566024,668.37634,668.37634
4521090,00:06.1,CA,ON,Windsor,42.2545,-82.9809,POI3,45.521629,-73.566024,838.41406,838.41406
4521119,00:06.1,CA,ON,Kitchener,43.4381,-80.5099,POI3,45.521629,-73.566024,598.7253,598.7253
4521184,00:06.1,CA,ON,London,42.9923,-81.2531,POI3,45.521629,-73.566024,674.78314,674.78314
4521259,00:06.6,CA,ON,London,43.0061,-81.2962,POI3,45.521629,-73.566024,677.21136,677.21136
4521353,00:06.7,CA,ON,Windsor,42.3159,-83.0311,POI3,45.521629,-73.566024,838.78534,838.78534
4521387,00:02.2,CA,ON,Kitchener,43.4453,-80.4905,POI3,45.521629,-73.566024,596.96375,596.96375
4521468,00:02.3,CA,ON,Kitchener,43.4453,-80.4905,POI3,45.521629,-73.566024,596.96375,596.96375
4521539,00:02.5,CA,ON,Kitchener,43.4553,-80.4845,POI3,45.521629,-73.566024,596.0528,596.0528
4521574,00:02.6,CA,ON,Brantford,43.1508,-80.2094,POI3,45.521629,-73.566024,591.4431,591.4431
4521618,00:02.7,CA,ON,Cambridge,43.3653,-80.3066,POI3,45.521629,-73.566024,587.4106,587.4106
4521682,00:02.7,CA,ON,London,42.9611,-81.2431,POI3,45.521629,-73.566024,675.6536,675.6536
4521726,00:02.8,CA,ON,Cambridge,43.3653,-80.3066,POI3,45.521629,-73.566024,587.4106,587.4106
4521790,00:02.8,CA,ON,Kitchener,43.4397,-80.434,POI3,45.521629,-73.566024,593.0914,593.0914
4521978,00:03.1,CA,ON,London,42.9529,-81.3239,POI3,45.521629,-73.566024,681.9236,681.9236
4522004,00:03.7,CA,ON,Guelph,43.5776,-80.2201,POI3,45.521629,-73.566024,570.9473,570.9473
4522040,00:03.8,CA,ON,Kitchener,43.4397,-80.434,POI3,45.521629,-73.566024,593.0914,593.0914
4522160,00:04.0,CA,ON,Cambridge,43.3653,-80.3066,POI3,45.521629,-73.566024,587.4106,587.4106
4522231,00:04.4,CA,ON,Chatham,42.4247,-82.1755,POI3,45.521629,-73.566024,771.2326,771.2326
4522296,00:05.0,CA,ON,Goderich,43.7479,-81.702,POI3,45.521629,-73.566024,674.62524,674.62524
